Date,Open,High,Low,Close,Volume,Dividend,Split,Adj Open,Adj High,Adj Low,Adj Close,Adj Volume
12/28/2017,190.91,190.98,189.64,189.78,3175631,0,1,180.5315152,180.5977098,179.3305565,179.4629456,3175631
12/27/2017,190.6,191.49,190.01,190.19,5912613,0,1,180.2383678,181.0799845,179.6804421,179.8506567,5912613
12/26/2017,188.53,190.42,188.34,190.36,2969182,0,1,178.2808997,180.0681532,178.1012287,180.011415,2969182
12/22/2017,188.2,188.46,187.27,188.13,3256519,0,1,177.9688395,178.2147051,177.0893974,177.902645,3256519
12/21/2017,187.7,188.84,187.44,188.08,5859058,0,1,177.4960212,178.5740471,177.2501556,177.8553631,5859058
12/20/2017,187.14,187.9024,186.035,187.31,5383672,0,1,176.9664646,177.687418,175.9215359,177.1272228,5383672
12/19/2017,185.235,186.72,184.6,185.98,4496706,0,1,175.1650265,176.5692971,174.5645472,175.8695259,4496706
12/18/2017,183.96,185.47,183.5,184.73,5011827,0,1,173.9593397,175.3872512,173.5243467,174.68748,5011827
12/15/2017,183.005,183.21,182.13,182.58,8201699,0,1,173.0562565,173.2501121,172.2288244,172.6543609,8201699
12/14/2017,183.88,184,182.06,182.13,3542677,0,1,173.8836887,173.9971651,172.1626298,172.2288244,3542677
12/13/2017,182.01,183.67,182,183.03,5176749,0,1,172.115348,173.685105,172.1058916,173.0798975,5176749
12/12/2017,182.75,183.21,181.66,181.8,5274935,0,1,172.8151192,173.2501121,171.7843751,171.9167642,5274935
12/11/2017,182.9,182.96,181.1201,182.25,6038891,0,1,172.9569647,173.0137029,171.2738258,172.3423008,6038891
12/8/2017,182.5,183.9,182.16,183.41,5091538,0,1,172.57871,173.9026014,172.2571935,173.4392394,5091538
12/7/2017,180.05,182.58,179.77,182,5484611,0,1,170.2618999,172.6543609,169.9971216,172.1058916,5484611
12/6/2017,180.25,182.15,178.68,180.8,6891093,0,1,170.4510272,172.2477371,168.9663775,170.9711275,6891093
12/5/2017,184.79,184.91,182.2589,182.85,6347228,0,1,174.7442182,174.8576946,172.3507169,172.9096828,6347228
12/4/2017,183.19,186.31,183.19,184.9,6192507,0,1,173.2311993,176.1815861,173.2311993,174.8482382,6192507
12/1/2017,180.32,180.6,176.7,180.42,4682482,0,1,170.5172218,170.7820001,167.0940167,170.6117855,4682482
11/30/2017,178.07,180.67,177.41,179.82,9179321,0,1,168.3895391,170.8481947,167.7654188,170.0444034,9179321
11/29/2017,176.57,178.43,175.68,177.25,4901810,0.89,1,166.9710839,168.7299683,166.1294672,167.6141169,4901810
11/28/2017,174.89,176.77,172.9911,176.57,6048963,0,1,164.556152,166.3250671,162.7694536,166.1368846,6048963
11/27/2017,172.87,174.91,172.38,174.16,4539428,0,1,162.6555091,164.5749702,162.1944621,163.869286,4539428
11/24/2017,172.11,173.1,171.7425,172.33,1853587,0,1,161.9404158,162.871919,161.5946305,162.1474165,1853587
11/22/2017,172.89,172.94,172.04,172.06,4132897,0,1,162.6743274,162.721373,161.8745519,161.8933702,4132897
11/21/2017,170.53,172.86,170.15,172.86,6228970,0,1,160.4537744,162.6461,160.0962277,162.6461,6228970
11/20/2017,168.14,170.69,167.8,170.45,4697484,0,1,158.204994,160.6043203,157.8850838,160.3785014,4697484
11/17/2017,167,168.43,166.06,167.74,4530027,0,1,157.1323539,158.4778585,156.2478964,157.828629,4530027
11/16/2017,166.68,167.76,166.06,167.5,4585477,0,1,156.831262,157.8474473,156.2478964,157.6028101,4585477
11/15/2017,167.44,167.44,165.35,165.47,5534520,0,1,157.5463553,157.5463553,155.5798486,155.6927581,5534520
11/14/2017,163.62,168.14,163.15,168.06,10281508,0,1,153.9520704,158.204994,153.5098416,158.129721,10281508
11/13/2017,164.64,166.64,164.25,165.35,7175307,0,1,154.9118009,156.7936255,154.5448451,155.5798486,7175307
11/10/2017,163.34,164.58,162.93,164.11,3554220,0,1,153.6886149,154.8553462,153.3028409,154.4131174,3554220
